SCRAPING DATE,TOKEN,ADDRESS,BALANCE
29/8/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.000665
29/8/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,20
29/8/2021,HBAR,0.0.358271,"78,767,572.00"
29/8/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.5
29/8/2021,HNT,14sBjdgVU2bxYfpvaQH621gzb4CdYuuToj4ms6psJeKDVxxMp8A,No data acquired.
29/8/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,6.27E-06
30/8/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"455,985,700.10"
30/8/2021,LUNA,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.00198
30/8/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,1
30/8/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,"309,445,235.91"
30/8/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,"9,009,541.98"
30/8/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227 204 707.29 
30/8/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"1,047,946.36"
30/8/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"1,520,453.53"
30/8/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"2,853,795.99"
30/8/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,"28,259.16"
30/8/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
30/8/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,"224,072"
30/8/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.000723
30/8/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,20
30/8/2021,HBAR,0.0.358271,"78,767,572.00"
30/8/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.5
30/8/2021,HNT,14sBjdgVU2bxYfpvaQH621gzb4CdYuuToj4ms6psJeKDVxxMp8A,No data acquired.
30/8/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,6.27E-06
31/8/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"455,985,700.10"
31/8/2021,LUNA,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,26677.58162
31/8/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,1
31/8/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,"309,445,235.91"
31/8/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,"9,010,946.17"
31/8/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227 204 707.29 
31/8/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"1,250,837.19"
31/8/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"1,520,453.53"
31/8/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"2,853,795.99"
31/8/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,"28,259.16"
31/8/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
31/8/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,"224,072"
31/8/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.000723
31/8/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,20
31/8/2021,HBAR,0.0.358271,"78,767,572.00"
31/8/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.5
31/8/2021,HNT,14sBjdgVU2bxYfpvaQH621gzb4CdYuuToj4ms6psJeKDVxxMp8A,No data acquired.
31/8/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,6.27E-06
7/9/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"456,141,700.10"
7/9/2021,LUNA,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,26701.36999
7/9/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,1
7/9/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,"309,445,235.91"
7/9/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,"9,020,469.44"
7/9/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227 204 707.29 
7/9/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"158,655,514.58"
7/9/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"1,520,453.53"
7/9/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"2,853,795.99"
7/9/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,"37,859.16"
7/9/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
7/9/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,"224,072"
7/9/2021,MIR,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,0.000803
7/9/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,20
7/9/2021,HBAR,0.0.358271,"78,767,572.00"
